"PRODUCT_ID";"PRODUCT_DESC";"PRODUCT_CLASS_CODE";"PRODUCT_PRICE";"PRODUCT_QUANTITY_AVAIL";"LEN";"WIDTH";"HEIGHT";"WEIGHT"
99999;"Samsung Galaxy Tab 2 P3100";3000;19300.0;50;122;194;10;0.345
99998;"Nikon Coolpix L810 Bridge";3000;14987.0;50;111;76;83;0.43
99997;"Sony Xperia U (Black White)";3000;16499.0;50;54;112;12;0.11
99994;"HP Deskjet 2050 All-in-One - J510a Printer";3001;3749.0;100;249;427;406;3.6
99995;"LG MS-2049UW Solo Microwave";3001;4800.0;100;455;252;320;5.6
99996;"Nokia Asha 200 (Graphite)";3001;4070.0;100;61;115;14;0.105
99991;"Dell Targus Synergy 2.0 Backpack";3002;999.0;250;450;250;50;0.5
99992;"Tom Clancy's Ghost Recon: Future Soldier (PC Game)";3002;999.0;250;150;200;10;0.1
99993;"Nokia 1280 (Black)";3002;999.0;250;45;107;15;0.082
201;"Sky LED 102 CM TV";2050;35000.0;30;905;750;700;15.0
202;"Sams 192 L4 Single-door Refrigerator";2050;28000.0;15;1802;750;750;25.0
203;"Jocky Speaker Music System HT32";2050;8900.0;19;908;300;300;5.0
204;"Cricket Set for Boys";2051;4500.0;10;890;300;200;18.0
205;"Infant Sleepwear Blue";2052;250.0;50;596;300;100;0.25
206;"Barbie Fab Gown Doll";2051;1000.0;20;305;150;75;0.15
207;"Remote Control Car";2051;2900.0;29;200;150;50;0.225
208;"Doll House";2051;3000.0;12;600;455;375;0.9
209;"Blue Jeans 34";2052;800.0;100;450;310;52;1.1
210;"Blossoms Lehenga Choli set";2052;3000.0;100;600;315;54;0.25
211;"OnePlus 6 Smart Phone";2055;32500.0;25;100;65;15;0.55
212;"Samsung Galaxy On6";2055;14000.0;20;120;70;18;0.65
213;"Alchemist";2054;150.0;50;200;100;20;0.235
214;"Harry Potter";2054;250.0;50;210;100;50;0.345
215;"Logtech M244 Optical Mouse";2053;450.0;10;125;85;45;0.105
216;"External Hard Disk 500 GB";2053;3500.0;10;275;285;85;0.525
217;"Titan Karishma Watch";2057;3497.0;35;220;55;24;0.103
218;"Shell Fingertip Ball Pen";2056;25.0;150;170;12;170;0.05
219;"Ruf-n-Tuf Black PU Leather Belt";2052;350.0;50;700;45;4;0.155
220;"Hello Kitti Lunch Bag";2059;199.0;15;455;300;225;0.5
221;"Cybershot DWC-W325 Camera";2050;5300.0;5;100;55;40;0.05
222;"KitchAsst Siphon Coffee Maker 500 ml";2060;1790.0;10;150;100;200;1.2
223;"Sams 21L Microwave Oven";2060;6880.0;5;500;400;300;8.0
224;"Phils HL 7430 Mixer Grinder 750W";2060;2265.0;3;375;400;355;3.0
225;"Solmo Non-stick Sandwich Maker 750 W";2060;1625.0;10;150;175;70;0.75
226;"Solmo Hand Blender Fibre";2060;1415.0;12;220;100;220;0.56
227;"Phils Wah Collection Juicer JM12";2060;2029.0;2;400;450;425;4.0
228;"Adidas Analog Watch";2057;2295.0;10;225;60;28;0.115
229;"Disney Analog Watch";2057;1600.0;10;225;60;28;0.115
230;"Esprit Analog Watch";2057;3495.0;5;225;60;28;0.115
231;"HP ODC Laptop Bag 15.5";2059;3390.0;10;550;400;210;0.255
232;"Women Hand Bag";2059;1600.0;15;250;220;170;0.175
233;"HP ODC School Bag 2.5'";2059;799.0;35;600;450;275;0.355
234;"FLUFF Tote Travel Bag 35LTR";2059;3290.0;8;900;800;600;4.0
236;"Solo Exam SB-01 Writing Pad";2056;350.0;30;400;300;5;0.55
238;"Kasyo DJ-2100 Desktop Calculator";2056;338.0;10;150;120;120;0.55
239;"TRANS 2D A4 Size Box File";2056;120.0;6;350;300;100;0.315
240;"4M Post It Pad 3.5";2056;35.0;8;80;80;150;0.12
242;"GreenWud CT-NO-PR Coffee Table";2058;3500.0;6;1250;550;700;50.0
243;"Supreme Fusion Cupboard 02TB";2058;3000.0;3;1200;350;900;60.0
244;"Foldable Premium Chair";2058;4000.0;6;75;70;90;20.0
245;"GreenWud Nova Pedestal Unit";2058;2500.0;5;400;400;600;25.0
235;"Cindy HMPOC Pencil Box (Multicolor)";2056;80.0;10;250;50;15;0.45
237;"Zamark Color Pencil Art Set";2056;100.0;10;120;90;20;0.35
241;"PK Copier A4 75 GSM White Paper Ream";2056;285.0;2;297;210;0;0.0
246;"Exam Warriors";2054;100.0;50;200;160;15;0.1
247;"Small Is Beautiful";2054;140.0;40;180;100;15;0.1
248;"To Kill a Mocking Bird";2054;210.0;35;190;150;20;0.15
249;"All-in-one Board Game";2051;450.0;20;750;320;90;0.5
250;"Huwi Wi-Fi Receiver 500Mbps";2053;287.0;30;100;95;30;0.1
99990;"Quanta 4 Port USB Hub";3000;500.0;50;180;125;30;0.05
7789;"";0;-4048.0;0;0;0;0;0.0
8859;"";0;-4500.0;0;0;0;0;0.0
